DATE,MRTSSM4441USN
1992-01-01,7637
1992-02-01,7567
1992-03-01,8718
1992-04-01,9330
1992-05-01,9731
1992-06-01,10178
1992-07-01,9981
1992-08-01,9742
1992-09-01,9813
1992-10-01,10018
1992-11-01,8835
1992-12-01,8765
1993-01-01,7746
1993-02-01,7932
1993-03-01,9408
1993-04-01,10146
1993-05-01,10769
1993-06-01,11083
1993-07-01,10813
1993-08-01,10905
1993-09-01,10578
1993-10-01,10711
1993-11-01,10388
1993-12-01,9947
1994-01-01,8393
1994-02-01,8487
1994-03-01,10682
1994-04-01,11314
1994-05-01,12236
1994-06-01,12445
1994-07-01,11852
1994-08-01,12720
1994-09-01,12139
1994-10-01,12266
1994-11-01,11557
1994-12-01,11008
1995-01-01,9734
1995-02-01,9496
1995-03-01,11445
1995-04-01,11416
1995-05-01,12980
1995-06-01,12995
1995-07-01,12125
1995-08-01,12894
1995-09-01,12234
1995-10-01,12767
1995-11-01,11864
1995-12-01,11078
1996-01-01,10050
1996-02-01,10148
1996-03-01,11357
1996-04-01,12751
1996-05-01,13919
1996-06-01,13529
1996-07-01,13874
1996-08-01,13765
1996-09-01,12970
1996-10-01,14060
1996-11-01,12549
1996-12-01,11481
1997-01-01,10767
1997-02-01,10740
1997-03-01,12563
1997-04-01,14083
1997-05-01,14943
1997-06-01,14716
1997-07-01,15012
1997-08-01,14189
1997-09-01,14506
1997-10-01,15003
1997-11-01,12799
1997-12-01,12747
1998-01-01,11400
1998-02-01,11326
1998-03-01,13453
1998-04-01,14815
1998-05-01,15323
1998-06-01,16078
1998-07-01,15875
1998-08-01,15048
1998-09-01,15191
1998-10-01,15676
1998-11-01,14025
1998-12-01,13991
1999-01-01,12020
1999-02-01,12508
1999-03-01,15156
1999-04-01,16239
1999-05-01,16717
1999-06-01,17403
1999-07-01,16977
1999-08-01,16878
1999-09-01,16299
1999-10-01,16470
1999-11-01,16032
1999-12-01,15217
2000-01-01,13314
2000-02-01,14047
2000-03-01,17061
2000-04-01,16665
2000-05-01,18953
2000-06-01,18499
2000-07-01,17261
2000-08-01,17919
2000-09-01,16546
2000-10-01,17228
2000-11-01,15650
2000-12-01,14506
2001-01-01,13744
2001-02-01,13643
2001-03-01,16488
2001-04-01,18241
2001-05-01,20031
2001-06-01,19188
2001-07-01,18559
2001-08-01,19031
2001-09-01,16828
2001-10-01,18712
2001-11-01,17111
2001-12-01,15444
2002-01-01,14957
2002-02-01,14458
2002-03-01,16873
2002-04-01,20038
2002-05-01,20917
2002-06-01,19357
2002-07-01,19721
2002-08-01,19365
2002-09-01,18240
2002-10-01,19474
2002-11-01,17593
2002-12-01,16191
2003-01-01,15619
2003-02-01,14083
2003-03-01,17619
2003-04-01,19876
2003-05-01,20984
2003-06-01,20946
2003-07-01,21465
2003-08-01,20425
2003-09-01,20775
2003-10-01,21669
2003-11-01,18897
2003-12-01,18613
2004-01-01,16526
2004-02-01,16258
2004-03-01,21879
2004-04-01,23351
2004-05-01,23595
2004-06-01,24738
2004-07-01,23341
2004-08-01,23253
2004-09-01,22852
2004-10-01,22415
2004-11-01,21872
2004-12-01,21120
2005-01-01,18474
2005-02-01,18255
2005-03-01,23435
2005-04-01,25194
2005-05-01,26549
2005-06-01,26863
2005-07-01,24677
2005-08-01,25872
2005-09-01,25192
2005-10-01,25244
2005-11-01,24435
2005-12-01,22414
2006-01-01,21699
2006-02-01,21119
2006-03-01,26691
2006-04-01,26428
2006-05-01,29070
2006-06-01,27883
2006-07-01,25437
2006-08-01,26886
2006-09-01,24150
2006-10-01,25298
2006-11-01,23414
2006-12-01,21307
2007-01-01,20238
2007-02-01,18893
2007-03-01,23857
2007-04-01,24763
2007-05-01,28628
2007-06-01,26408
2007-07-01,25588
2007-08-01,25666
2007-09-01,22706
2007-10-01,24458
2007-11-01,22742
2007-12-01,19900
2008-01-01,18677
2008-02-01,18247
2008-03-01,20722
2008-04-01,24370
2008-05-01,26291
2008-06-01,24818
2008-07-01,25033
2008-08-01,22746
2008-09-01,22364
2008-10-01,22797
2008-11-01,18968
2008-12-01,18049
2009-01-01,15702
2009-02-01,15177
2009-03-01,18571
2009-04-01,20626
2009-05-01,22160
2009-06-01,22043
2009-07-01,21029
2009-08-01,19344
2009-09-01,19376
2009-10-01,19076
2009-11-01,17562
2009-12-01,16808
2010-01-01,13738
2010-02-01,13750
2010-03-01,19009
2010-04-01,21771
2010-05-01,21871
2010-06-01,21652
2010-07-01,20304
2010-08-01,19349
2010-09-01,18915
2010-10-01,18985
2010-11-01,18714
2010-12-01,17654
2011-01-01,14265
2011-02-01,14196
2011-03-01,18974
2011-04-01,20310
2011-05-01,22769
2011-06-01,22556
2011-07-01,20828
2011-08-01,21167
2011-09-01,20054
2011-10-01,19992
2011-11-01,19415
2011-12-01,18123
2012-01-01,15941
2012-02-01,16385
2012-03-01,20492
2012-04-01,21124
2012-05-01,24075
2012-06-01,22024
2012-07-01,21113
2012-08-01,21511
2012-09-01,19607
2012-10-01,21465
2012-11-01,20399
2012-12-01,18040
2013-01-01,17035
2013-02-01,16373
2013-03-01,19736
2013-04-01,23779
2013-05-01,26417
2013-06-01,23382
2013-07-01,23881
2013-08-01,23015
2013-09-01,21386
2013-10-01,22836
2013-11-01,20833
2013-12-01,19053
2014-01-01,17514
2014-02-01,16672
2014-03-01,20534
2014-04-01,24336
2014-05-01,27031
2014-06-01,25334
2014-07-01,25272
2014-08-01,23557
2014-09-01,23420
2014-10-01,24048
2014-11-01,21665
2014-12-01,20765
2015-01-01,18487
2015-02-01,17317
2015-03-01,22552
2015-04-01,25276
2015-05-01,26554
2015-06-01,26254
2015-07-01,26299
2015-08-01,24088
2015-09-01,23965
2015-10-01,24378
2015-11-01,23110
2015-12-01,22999
2016-01-01,19157
2016-02-01,20035
2016-03-01,24802
2016-04-01,26168
2016-05-01,28036
2016-06-01,28213
2016-07-01,25915
2016-08-01,25898
2016-09-01,24867
2016-10-01,24498
2016-11-01,24619
2016-12-01,22746
2017-01-01,20239
2017-02-01,19948
2017-03-01,25196
2017-04-01,25944
2017-05-01,29744
2017-06-01,28827
2017-07-01,26489
2017-08-01,27028
2017-09-01,26027
2017-10-01,26559
2017-11-01,25985
2017-12-01,23485
2018-01-01,21144
2018-02-01,20835
2018-03-01,25785
2018-04-01,27533
2018-05-01,32498
2018-06-01,30727
2018-07-01,29811
2018-08-01,28784
2018-09-01,26180
2018-10-01,28694
2018-11-01,26582
2018-12-01,24108
2019-01-01,23545
2019-02-01,21162
2019-03-01,25990
2019-04-01,29362
2019-05-01,32325
2019-06-01,29363
2019-07-01,30018
2019-08-01,28969
2019-09-01,26686
2019-10-01,28705
2019-11-01,26196
2019-12-01,24936
2020-01-01,23644
2020-02-01,22940
2020-03-01,27844
2020-04-01,29850
2020-05-01,35752
2020-06-01,36142
2020-07-01,34597
2020-08-01,32375
2020-09-01,32381
2020-10-01,32732
2020-11-01,30370
2020-12-01,29876
2021-01-01,26897
2021-02-01,25401
2021-03-01,36990
2021-04-01,39531
2021-05-01,39644
2021-06-01,39143
2021-07-01,36401
2021-08-01,35049
2021-09-01,34340
2021-10-01,34618
2021-11-01,34925
2021-12-01,33323
2022-01-01,29770
2022-02-01,29463
2022-03-01,38803
2022-04-01,39600
