DATE,I4242IM144NCEN
1992-01-01,9007
1992-02-01,8789
1992-03-01,8389
1992-04-01,8401
1992-05-01,7845
1992-06-01,8363
1992-07-01,8568
1992-08-01,8308
1992-09-01,8741
1992-10-01,9170
1992-11-01,8834
1992-12-01,9647
1993-01-01,10496
1993-02-01,9846
1993-03-01,9537
1993-04-01,9415
1993-05-01,8895
1993-06-01,9122
1993-07-01,9470
1993-08-01,9327
1993-09-01,9810
1993-10-01,9982
1993-11-01,10089
1993-12-01,10663
1994-01-01,10977
1994-02-01,10376
1994-03-01,9833
1994-04-01,9935
1994-05-01,9545
1994-06-01,9663
1994-07-01,10091
1994-08-01,9821
1994-09-01,10087
1994-10-01,10780
1994-11-01,10786
1994-12-01,11051
1995-01-01,11572
1995-02-01,10769
1995-03-01,10886
1995-04-01,11083
1995-05-01,10615
1995-06-01,10821
1995-07-01,10891
1995-08-01,10611
1995-09-01,10909
1995-10-01,11009
1995-11-01,10668
1995-12-01,10689
1996-01-01,11244
1996-02-01,10826
1996-03-01,10547
1996-04-01,10849
1996-05-01,10119
1996-06-01,10392
1996-07-01,10907
1996-08-01,10705
1996-09-01,10514
1996-10-01,11558
1996-11-01,11608
1996-12-01,12049
1997-01-01,12879
1997-02-01,11983
1997-03-01,12068
1997-04-01,11886
1997-05-01,11459
1997-06-01,11955
1997-07-01,12361
1997-08-01,12560
1997-09-01,12900
1997-10-01,13048
1997-11-01,13313
1997-12-01,13671
1998-01-01,14617
1998-02-01,14281
1998-03-01,14433
1998-04-01,14654
1998-05-01,14266
1998-06-01,14284
1998-07-01,14612
1998-08-01,14368
1998-09-01,14632
1998-10-01,15311
1998-11-01,15418
1998-12-01,15873
1999-01-01,16843
1999-02-01,16142
1999-03-01,16364
1999-04-01,17119
1999-05-01,16635
1999-06-01,17344
1999-07-01,17912
1999-08-01,17606
1999-09-01,17935
1999-10-01,19154
1999-11-01,18789
1999-12-01,19278
2000-01-01,20410
2000-02-01,19340
2000-03-01,19883
2000-04-01,19941
2000-05-01,18964
2000-06-01,20126
2000-07-01,20770
2000-08-01,20171
2000-09-01,21255
2000-10-01,22402
2000-11-01,22361
2000-12-01,23901
2001-01-01,24146
2001-02-01,22457
2001-03-01,23811
2001-04-01,24379
2001-05-01,24452
2001-06-01,25821
2001-07-01,25703
2001-08-01,25817
2001-09-01,28043
2001-10-01,28515
2001-11-01,29061
2001-12-01,30681
2002-01-01,31113
2002-02-01,28925
2002-03-01,29715
2002-04-01,28861
2002-05-01,27556
2002-06-01,28712
2002-07-01,28314
2002-08-01,27190
2002-09-01,28874
2002-10-01,30341
2002-11-01,29959
2002-12-01,32135
2003-01-01,32272
2003-02-01,30922
2003-03-01,32367
2003-04-01,32125
2003-05-01,31105
2003-06-01,31423
2003-07-01,32129
2003-08-01,31182
2003-09-01,31902
2003-10-01,32241
2003-11-01,32206
2003-12-01,32294
2004-01-01,31447
2004-02-01,30898
2004-03-01,32129
2004-04-01,30458
2004-05-01,29921
2004-06-01,30983
2004-07-01,31281
2004-08-01,30468
2004-09-01,31409
2004-10-01,31542
2004-11-01,31486
2004-12-01,31888
2005-01-01,31412
2005-02-01,29062
2005-03-01,29960
2005-04-01,29106
2005-05-01,28247
