DATE,IPG311A2N
1972-01-01,58.2754
1972-02-01,58.2369
1972-03-01,58.7202
1972-04-01,59.6895
1972-05-01,60.1126
1972-06-01,62.8668
1972-07-01,59.5483
1972-08-01,61.9654
1972-09-01,63.3144
1972-10-01,65.2579
1972-11-01,61.7648
1972-12-01,59.9572
1973-01-01,58.9422
1973-02-01,59.8278
1973-03-01,59.3997
1973-04-01,59.1335
1973-05-01,61.0292
1973-06-01,62.4420
1973-07-01,59.4820
1973-08-01,61.0378
1973-09-01,63.6707
1973-10-01,65.7851
1973-11-01,64.4420
1973-12-01,61.4860
1974-01-01,60.9968
1974-02-01,61.1000
1974-03-01,61.3112
1974-04-01,60.0332
1974-05-01,62.3109
1974-06-01,65.3688
1974-07-01,61.0942
1974-08-01,63.5293
1974-09-01,64.6078
1974-10-01,66.6569
1974-11-01,63.1855
1974-12-01,59.4629
1975-01-01,57.5133
1975-02-01,57.3416
1975-03-01,56.7256
1975-04-01,58.7395
1975-05-01,58.8399
1975-06-01,62.4364
1975-07-01,60.4708
1975-08-01,62.6364
1975-09-01,64.4735
1975-10-01,67.0915
1975-11-01,65.2112
1975-12-01,62.4442
1976-01-01,62.2646
1976-02-01,62.7576
1976-03-01,62.3807
1976-04-01,62.6323
1976-05-01,64.7018
1976-06-01,66.6670
1976-07-01,64.8676
1976-08-01,66.9578
1976-09-01,68.4967
1976-10-01,69.9342
1976-11-01,67.7306
1976-12-01,64.9622
1977-01-01,63.9278
1977-02-01,65.0757
1977-03-01,65.0172
1977-04-01,65.2605
1977-05-01,65.2986
1977-06-01,67.9376
1977-07-01,65.2558
1977-08-01,68.1023
1977-09-01,68.9909
1977-10-01,70.1530
1977-11-01,68.7409
1977-12-01,67.1829
1978-01-01,65.4207
1978-02-01,66.6624
1978-03-01,66.7667
1978-04-01,68.8135
1978-05-01,68.0286
1978-06-01,71.4371
1978-07-01,67.7819
1978-08-01,71.1277
1978-09-01,71.7422
1978-10-01,72.2514
1978-11-01,70.9798
1978-12-01,68.4661
1979-01-01,66.4807
1979-02-01,66.4815
1979-03-01,67.6548
1979-04-01,67.4686
1979-05-01,68.2672
1979-06-01,70.6051
1979-07-01,66.9584
1979-08-01,70.1075
1979-09-01,70.5510
1979-10-01,71.9592
1979-11-01,69.8760
1979-12-01,67.9741
1980-01-01,67.2391
1980-02-01,68.1742
1980-03-01,68.0657
1980-04-01,68.0416
1980-05-01,69.2627
1980-06-01,71.2191
1980-07-01,67.9458
1980-08-01,71.5530
1980-09-01,72.3051
1980-10-01,73.5939
1980-11-01,71.2496
1980-12-01,68.8810
1981-01-01,67.9390
1981-02-01,69.0987
