DATE,S4244SM144NCEN
1992-01-01,22506
1992-02-01,21494
1992-03-01,23277
1992-04-01,23154
1992-05-01,22804
1992-06-01,22632
1992-07-01,23703
1992-08-01,22645
1992-09-01,22942
1992-10-01,23412
1992-11-01,22513
1992-12-01,23746
1993-01-01,23057
1993-02-01,21215
1993-03-01,24407
1993-04-01,23896
1993-05-01,24520
1993-06-01,24267
1993-07-01,24182
1993-08-01,23597
1993-09-01,23688
1993-10-01,23356
1993-11-01,23642
1993-12-01,23877
1994-01-01,22309
1994-02-01,21275
1994-03-01,24632
1994-04-01,23186
1994-05-01,24455
1994-06-01,24492
1994-07-01,23591
1994-08-01,25223
1994-09-01,24451
1994-10-01,25023
1994-11-01,25493
1994-12-01,25773
1995-01-01,24397
1995-02-01,22485
1995-03-01,25870
1995-04-01,24466
1995-05-01,27185
1995-06-01,26078
1995-07-01,25545
1995-08-01,26828
1995-09-01,25748
1995-10-01,27281
1995-11-01,26787
1995-12-01,26378
1996-01-01,26173
1996-02-01,24948
1996-03-01,26023
1996-04-01,25872
1996-05-01,27493
1996-06-01,25266
1996-07-01,27848
1996-08-01,27577
1996-09-01,25583
1996-10-01,28325
1996-11-01,26456
1996-12-01,26257
1997-01-01,26702
1997-02-01,24891
1997-03-01,28521
1997-04-01,27171
1997-05-01,29027
1997-06-01,27920
1997-07-01,28378
1997-08-01,27302
1997-09-01,27024
1997-10-01,28280
1997-11-01,26584
1997-12-01,28411
1998-01-01,26497
1998-02-01,25640
1998-03-01,28616
1998-04-01,28254
1998-05-01,28737
1998-06-01,29227
1998-07-01,29764
1998-08-01,28812
1998-09-01,28370
1998-10-01,29741
1998-11-01,28391
1998-12-01,29577
1999-01-01,26473
1999-02-01,25902
1999-03-01,30509
1999-04-01,28851
1999-05-01,30548
1999-06-01,29863
1999-07-01,30028
1999-08-01,30389
1999-09-01,30294
1999-10-01,30527
1999-11-01,31087
1999-12-01,31622
2000-01-01,28729
2000-02-01,28810
2000-03-01,32096
2000-04-01,29983
2000-05-01,33287
2000-06-01,32073
2000-07-01,31585
2000-08-01,32447
2000-09-01,30290
2000-10-01,31837
2000-11-01,31816
2000-12-01,31772
2001-01-01,30389
2001-02-01,28316
2001-03-01,32472
2001-04-01,31403
2001-05-01,33311
2001-06-01,31487
2001-07-01,31914
2001-08-01,32542
2001-09-01,29870
2001-10-01,32615
2001-11-01,31636
2001-12-01,31224
2002-01-01,30571
2002-02-01,28979
2002-03-01,31883
2002-04-01,31509
2002-05-01,33387
2002-06-01,31479
2002-07-01,33587
2002-08-01,33440
2002-09-01,31692
2002-10-01,34063
2002-11-01,32531
2002-12-01,32760
2003-01-01,31591
2003-02-01,30246
2003-03-01,33928
2003-04-01,33663
2003-05-01,35254
2003-06-01,33968
2003-07-01,35344
2003-08-01,33785
2003-09-01,33664
2003-10-01,34884
2003-11-01,32286
2003-12-01,33450
2004-01-01,31289
2004-02-01,30187
2004-03-01,35569
2004-04-01,33304
2004-05-01,33823
2004-06-01,33782
2004-07-01,33466
2004-08-01,34387
2004-09-01,33527
2004-10-01,33864
2004-11-01,34562
2004-12-01,35156
2005-01-01,32076
2005-02-01,31502
2005-03-01,36383
2005-04-01,34362
2005-05-01,36642
2005-06-01,36253
2005-07-01,34722
2005-08-01,37084
2005-09-01,35314
2005-10-01,35695
2005-11-01,36098
2005-12-01,36035
2006-01-01,34529
2006-02-01,32652
2006-03-01,37650
2006-04-01,35060
2006-05-01,37892
2006-06-01,36974
2006-07-01,35683
2006-08-01,38932
2006-09-01,36339
2006-10-01,37417
2006-11-01,36707
2006-12-01,36820
2007-01-01,37615
2007-02-01,35691
2007-03-01,41359
2007-04-01,39793
2007-05-01,42132
2007-06-01,40123
2007-07-01,39031
2007-08-01,40730
2007-09-01,38066
2007-10-01,41332
2007-11-01,39884
2007-12-01,40016
2008-01-01,40419
2008-02-01,38445
2008-03-01,41206
2008-04-01,41171
2008-05-01,42643
2008-06-01,40481
2008-07-01,40763
2008-08-01,40196
2008-09-01,40375
2008-10-01,41414
2008-11-01,38848
2008-12-01,41293
2009-01-01,39716
2009-02-01,37361
2009-03-01,41954
2009-04-01,40675
2009-05-01,40754
2009-06-01,40394
2009-07-01,39402
2009-08-01,38732
2009-09-01,38757
2009-10-01,39427
2009-11-01,37768
2009-12-01,39663
2010-01-01,37879
2010-02-01,36955
2010-03-01,43723
2010-04-01,41941
2010-05-01,42702
2010-06-01,42121
2010-07-01,41405
2010-08-01,42308
2010-09-01,41513
2010-10-01,40161
2010-11-01,39968
2010-12-01,40669
2011-01-01,38510
2011-02-01,38310
2011-03-01,45515
2011-04-01,42880
2011-05-01,44319
2011-06-01,44291
2011-07-01,42289
2011-08-01,45926
2011-09-01,44385
2011-10-01,43662
2011-11-01,43677
2011-12-01,45482
2012-01-01,43604
2012-02-01,44479
2012-03-01,48291
2012-04-01,45666
2012-05-01,48622
2012-06-01,46615
2012-07-01,46578
2012-08-01,48504
2012-09-01,44095
2012-10-01,47413
2012-11-01,46268
2012-12-01,46141
2013-01-01,46849
2013-02-01,43237
2013-03-01,48408
2013-04-01,47593
2013-05-01,52113
2013-06-01,47399
2013-07-01,49076
2013-08-01,49610
2013-09-01,47739
2013-10-01,51068
2013-11-01,47437
2013-12-01,47552
2014-01-01,46720
2014-02-01,44228
2014-03-01,51604
2014-04-01,51670
2014-05-01,53303
2014-06-01,50522
2014-07-01,53394
2014-08-01,51624
2014-09-01,52588
2014-10-01,55158
2014-11-01,50026
2014-12-01,53337
2015-01-01,49617
2015-02-01,47400
2015-03-01,53425
2015-04-01,53232
2015-05-01,53861
2015-06-01,52972
2015-07-01,54400
2015-08-01,53842
2015-09-01,54418
2015-10-01,54885
2015-11-01,52028
2015-12-01,53244
2016-01-01,49708
2016-02-01,50404
2016-03-01,55252
2016-04-01,51917
2016-05-01,54508
2016-06-01,53828
2016-07-01,51335
2016-08-01,55450
2016-09-01,54166
2016-10-01,53305
2016-11-01,53032
2016-12-01,52490
2017-01-01,50968
2017-02-01,48367
2017-03-01,56879
2017-04-01,53507
2017-05-01,59257
2017-06-01,56787
2017-07-01,54652
2017-08-01,58035
2017-09-01,54468
2017-10-01,57689
2017-11-01,55633
2017-12-01,54367
2018-01-01,54047
2018-02-01,51225
2018-03-01,57901
2018-04-01,55110
2018-05-01,59856
2018-06-01,56065
2018-07-01,56599
2018-08-01,59590
2018-09-01,54555
2018-10-01,59482
2018-11-01,56486
2018-12-01,55441
2019-01-01,56025
2019-02-01,50569
2019-03-01,57362
2019-04-01,58078
2019-05-01,60292
2019-06-01,55689
2019-07-01,59047
2019-08-01,59073
2019-09-01,55803
2019-10-01,60028
2019-11-01,56553
2019-12-01,56576
2020-01-01,57192
2020-02-01,53033
2020-03-01,57851
2020-04-01,50352
2020-05-01,53648
2020-06-01,56792
2020-07-01,58673
2020-08-01,57200
2020-09-01,57492
2020-10-01,59366
2020-11-01,56399
2020-12-01,57772
2021-01-01,55623
2021-02-01,52327
2021-03-01,63637
2021-04-01,62635
2021-05-01,63833
2021-06-01,65777
2021-07-01,64839
2021-08-01,66391
2021-09-01,66364
2021-10-01,68384
2021-11-01,68626
2021-12-01,68753
2022-01-01,64444
2022-02-01,64261
2022-03-01,74140
2022-04-01,70845
2022-05-01,74352
2022-06-01,73817
