DATE,IPG3344N
1972-01-01,0.0291
1972-02-01,0.0286
1972-03-01,0.0291
1972-04-01,0.0293
1972-05-01,0.0290
1972-06-01,0.0295
1972-07-01,0.0281
1972-08-01,0.0303
1972-09-01,0.0320
1972-10-01,0.0325
1972-11-01,0.0337
1972-12-01,0.0346
1973-01-01,0.0354
1973-02-01,0.0371
1973-03-01,0.0382
1973-04-01,0.0383
1973-05-01,0.0383
1973-06-01,0.0422
1973-07-01,0.0369
1973-08-01,0.0412
1973-09-01,0.0426
1973-10-01,0.0436
1973-11-01,0.0443
1973-12-01,0.0438
1974-01-01,0.0443
1974-02-01,0.0452
1974-03-01,0.0455
1974-04-01,0.0438
1974-05-01,0.0432
1974-06-01,0.0445
1974-07-01,0.0402
1974-08-01,0.0404
1974-09-01,0.0418
1974-10-01,0.0405
1974-11-01,0.0370
1974-12-01,0.0349
1975-01-01,0.0339
1975-02-01,0.0318
1975-03-01,0.0321
1975-04-01,0.0311
1975-05-01,0.0320
1975-06-01,0.0327
1975-07-01,0.0316
1975-08-01,0.0346
1975-09-01,0.0365
1975-10-01,0.0364
1975-11-01,0.0367
1975-12-01,0.0375
1976-01-01,0.0377
1976-02-01,0.0378
1976-03-01,0.0391
1976-04-01,0.0399
1976-05-01,0.0426
1976-06-01,0.0440
1976-07-01,0.0416
1976-08-01,0.0451
1976-09-01,0.0473
1976-10-01,0.0483
1976-11-01,0.0487
1976-12-01,0.0485
1977-01-01,0.0486
1977-02-01,0.0512
1977-03-01,0.0516
1977-04-01,0.0520
1977-05-01,0.0530
1977-06-01,0.0568
1977-07-01,0.0524
1977-08-01,0.0568
1977-09-01,0.0582
1977-10-01,0.0579
1977-11-01,0.0593
1977-12-01,0.0584
1978-01-01,0.0570
1978-02-01,0.0576
1978-03-01,0.0607
1978-04-01,0.0607
1978-05-01,0.0612
1978-06-01,0.0646
1978-07-01,0.0609
1978-08-01,0.0648
1978-09-01,0.0666
1978-10-01,0.0680
1978-11-01,0.0700
1978-12-01,0.0709
1979-01-01,0.0708
1979-02-01,0.0733
1979-03-01,0.0744
1979-04-01,0.0715
1979-05-01,0.0746
1979-06-01,0.0796
1979-07-01,0.0741
1979-08-01,0.0786
1979-09-01,0.0813
1979-10-01,0.0830
1979-11-01,0.0863
1979-12-01,0.0887
1980-01-01,0.0884
1980-02-01,0.0894
1980-03-01,0.0899
1980-04-01,0.0901
1980-05-01,0.0890
1980-06-01,0.0879
1980-07-01,0.0816
1980-08-01,0.0858
1980-09-01,0.0870
1980-10-01,0.0880
1980-11-01,0.0896
1980-12-01,0.0911
1981-01-01,0.0898
1981-02-01,0.0902
1981-03-01,0.0914
1981-04-01,0.0931
1981-05-01,0.0943
1981-06-01,0.0965
1981-07-01,0.0916
1981-08-01,0.0994
1981-09-01,0.1018
1981-10-01,0.1036
1981-11-01,0.1041
1981-12-01,0.1050
1982-01-01,0.1017
1982-02-01,0.1062
1982-03-01,0.1060
1982-04-01,0.1066
1982-05-01,0.1089
1982-06-01,0.1117
1982-07-01,0.1082
1982-08-01,0.1113
1982-09-01,0.1105
1982-10-01,0.1102
1982-11-01,0.1104
1982-12-01,0.1109
1983-01-01,0.1128
1983-02-01,0.1114
1983-03-01,0.1146
1983-04-01,0.1169
1983-05-01,0.1203
1983-06-01,0.1233
1983-07-01,0.1246
1983-08-01,0.1272
1983-09-01,0.1327
1983-10-01,0.1367
1983-11-01,0.1398
1983-12-01,0.1407
1984-01-01,0.1461
1984-02-01,0.1495
1984-03-01,0.1528
1984-04-01,0.1583
1984-05-01,0.1612
1984-06-01,0.1656
1984-07-01,0.1655
1984-08-01,0.1730
1984-09-01,0.1748
1984-10-01,0.1768
1984-11-01,0.1790
1984-12-01,0.1786
1985-01-01,0.1793
1985-02-01,0.1744
1985-03-01,0.1732
1985-04-01,0.1660
1985-05-01,0.1699
1985-06-01,0.1702
1985-07-01,0.1586
1985-08-01,0.1623
1985-09-01,0.1601
1985-10-01,0.1594
1985-11-01,0.1614
1985-12-01,0.1633
1986-01-01,0.1619
1986-02-01,0.1619
1986-03-01,0.1641
1986-04-01,0.1682
1986-05-01,0.1680
1986-06-01,0.1647
1986-07-01,0.1696
1986-08-01,0.1796
1986-09-01,0.1836
1986-10-01,0.1854
1986-11-01,0.1916
1986-12-01,0.1972
1987-01-01,0.1980
1987-02-01,0.1995
1987-03-01,0.2027
1987-04-01,0.2053
1987-05-01,0.2125
1987-06-01,0.2159
1987-07-01,0.2175
1987-08-01,0.2249
1987-09-01,0.2262
1987-10-01,0.2340
